Car_ID,Date,Customer_Name,Gender,Annual_Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body_Style,Phone,Dealer_Region
C_CND_000046,4/7/2022,Erika,Male,"$13,500 ",C & M Motors Inc,Dodge,Ram Pickup,Double Overhead Camshaft,Auto,Pale White,"$45,000 ",60504-7114,Hatchback,6612385,Aurora
C_CND_000047,4/13/2022,Itzel,Male,"$13,500 ",Progressive Shippers Cooperative Association No,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",53546-9427,Hatchback,6098154,Janesville
C_CND_000048,4/17/2022,Nikhil,Male,"$13,500 ",Tri-State Mack Inc,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",85257-3102,Hatchback,7377700,Scottsdale
C_CND_000049,4/18/2022,Quincy,Male,"$13,500 ",Hatfield Volkswagen,Volkswagen,Passat,Double Overhead Camshaft,Auto,Pale White,"$31,000 ",99301-3882,Hatchback,8390247,Janesville
C_CND_000050,4/18/2022,Shawn,Male,"$13,500 ",Ryder Truck Rental and Leasing,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",06457-3834,Hatchback,6340611,Aurora
C_CND_000051,4/26/2022,Albert,Male,"$13,500 ",Motor Vehicle Branch Office,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,"$16,000 ",78758-7841,Hatchback,6388668,Middletown
C_CND_000052,4/26/2022,Aldo,Male,"$13,500 ",New Castle Ford Lincoln Mercury,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,"$21,000 ",60504-7114,Hatchback,8925401,Greenville
C_CND_000053,4/27/2022,Lily,Male,"$13,500 ",C & M Motors Inc,Honda,Civic,Double Overhead Camshaft,Auto,Pale White,"$25,000 ",60504-7114,Hatchback,7220851,Aurora
C_CND_000054,4/28/2022,Makayla,Male,"$13,500 ",Suburban Ford,Toyota,Tacoma,Double Overhead Camshaft,Auto,Pale White,"$53,001 ",53546-9427,Hatchback,8544241,Janesville
C_CND_000055,4/30/2022,Mikayla,Male,"$13,500 ",U-Haul CO,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",78758-7841,Hatchback,6611780,Austin
C_CND_000056,5/3/2022,Nechama,Male,"$13,500 ",Capitol KIA,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,"$14,000 ",38701-8047,Hatchback,6277021,Greenville
C_CND_000057,5/3/2022,Rebecca,Male,"$13,500 ",Rabun Used Car Sales,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,"$41,000 ",85257-3102,Hatchback,8623173,Austin
C_CND_000058,5/3/2022,Samara,Male,"$13,500 ",Scrivener Performance Engineering,Chrysler,Concorde,Double Overhead Camshaft,Auto,Pale White,"$46,000 ",38701-8047,Hatchback,8804433,Greenville
C_CND_000059,5/3/2022,Cesar,Male,"$13,500 ",Rabun Used Car Sales,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,"$14,000 ",85257-3102,Hatchback,6131463,Austin
C_CND_000060,5/3/2022,Aiza,Male,"$13,500 ",Scrivener Performance Engineering,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$75,000 ",38701-8047,Hatchback,7597314,Pasco
C_CND_000061,5/8/2022,Rebecca,Male,"$13,500 ",Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$13,001 ",06457-3834,Hatchback,6305764,Middletown
C_CND_000062,5/8/2022,Aria,Male,"$13,500 ",Diehl Motor CO Inc,Honda,Passport,Overhead Camshaft,Manual,Pale White,"$13,000 ",06457-3834,Hatchback,8746492,Janesville
C_CND_000063,5/10/2022,Arya,Male,"$13,500 ",Hatfield Volkswagen,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,"$12,000 ",99301-3882,Hatchback,7769522,Janesville
C_CND_000064,5/12/2022,Ryan,Male,"$13,500 ",Star Enterprises Inc,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",99301-3882,Hatchback,6586998,Pasco
C_CND_000065,5/12/2022,Zaniyah,Male,"$13,500 ",Rabun Used Car Sales,Saturn,LW,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",85257-3102,Hatchback,7504474,Scottsdale
C_CND_000066,5/14/2022,Joshua,Male,"$13,500 ",Scrivener Performance Engineering,Toyota,RAV4,Double Overhead Camshaft,Auto,Pale White,"$27,000 ",38701-8047,Hatchback,8358256,Greenville
C_CND_000067,5/15/2022,Emma,Male,"$13,500 ",U-Haul CO,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,"$26,000 ",78758-7841,Hatchback,6194930,Greenville
C_CND_000068,5/17/2022,Aina,Male,"$13,500 ",Rabun Used Car Sales,Honda,Civic,Double Overhead Camshaft,Auto,Pale White,"$25,000 ",85257-3102,Hatchback,7655971,Scottsdale
C_CND_000069,5/28/2022,Ashae,Male,"$13,500 ",Race Car Help,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,"$14,000 ",78758-7841,Hatchback,7005009,Austin
C_CND_000070,5/29/2022,Briana,Male,"$13,500 ",Diehl Motor CO Inc,Volkswagen,Golf,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",06457-3834,Hatchback,8988859,Middletown
C_CND_000071,5/31/2022,Christina,Male,"$13,500 ",Scrivener Performance Engineering,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",38701-8047,Hatchback,8328445,Greenville
C_CND_000072,5/31/2022,Selena,Male,"$13,500 ",Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,"$26,000 ",53546-9427,Hatchback,6911651,Janesville
C_CND_000073,6/1/2022,Denise,Male,"$13,500 ",Buddy Storbeck's Diesel Service Inc,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",06457-3834,Hatchback,6342495,Middletown
C_CND_000074,6/1/2022,Sophie,Male,"$13,500 ",Chrysler Plymouth,Chrysler,Concorde,Overhead Camshaft,Manual,Pale White,"$28,000 ",53546-9427,Hatchback,6513340,Janesville
C_CND_000075,6/4/2022,Elizabeth,Male,"$13,500 ",Hatfield Volkswagen,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,"$16,000 ",99301-3882,Hatchback,8528735,Pasco
C_CND_000076,6/7/2022,Them,Male,"$13,500 ",Diehl Motor CO Inc,Nissan,Altima,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",06457-3834,Hatchback,7568611,Middletown
C_CND_000077,6/8/2022,Esther,Male,"$13,500 ",Pitre Buick-Pontiac-Gmc of Scottsdale,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,"$21,000 ",99301-3882,Hatchback,7792272,Pasco
C_CND_000078,6/9/2022,Alexis,Male,"$13,500 ",Star Enterprises Inc,Toyota,RAV4,Overhead Camshaft,Manual,Pale White,"$22,000 ",99301-3882,Hatchback,8889763,Pasco
C_CND_000079,6/9/2022,Alexis,Male,"$13,500 ",Ryder Truck Rental and Leasing,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,"$17,000 ",06457-3834,Hatchback,6946121,Middletown
C_CND_000080,6/13/2022,Brielle,Male,"$13,500 ",Saab-Belle Dodge,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,"$41,000 ",60504-7114,Hatchback,7195565,Janesville
C_CND_000081,6/15/2022,Dariel,Male,"$13,500 ",U-Haul CO,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,"$16,000 ",78758-7841,Hatchback,6239179,Austin
C_CND_000082,6/15/2022,Jasmine,Male,"$13,500 ",Suburban Ford,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$75,000 ",53546-9427,Hatchback,7278265,Janesville
C_CND_000083,6/15/2022,Danielle,Male,"$13,500 ",Race Car Help,Nissan,Frontier,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",78758-7841,Hatchback,7653184,Scottsdale
C_CND_000084,6/18/2022,Lola,Male,"$13,500 ",New Castle Ford Lincoln Mercury,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",60504-7114,Hatchback,8230972,Aurora
C_CND_000085,6/19/2022,Kailyn,Male,"$13,500 ",McKinney Dodge Chrysler Jeep,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,"$12,000 ",85257-3102,Hatchback,7879823,Austin
C_CND_000086,6/19/2022,Paola,Male,"$13,500 ",Rabun Used Car Sales,Toyota,RAV4,Double Overhead Camshaft,Auto,Pale White,"$27,000 ",85257-3102,Hatchback,6296072,Scottsdale
C_CND_000087,6/25/2022,Heaven,Male,"$13,500 ",Ryder Truck Rental and Leasing,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,"$14,000 ",06457-3834,Hatchback,6484018,Middletown
C_CND_000088,6/25/2022,Kennedy,Male,"$13,500 ",Tri-State Mack Inc,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Pale White,"$53,000 ",85257-3102,Hatchback,6727284,Aurora
C_CND_000089,6/25/2022,Kylie,Male,"$13,500 ",Chrysler Plymouth,Porsche,Carrera Coupe,Overhead Camshaft,Manual,Pale White,"$26,000 ",53546-9427,Hatchback,8897615,Middletown
C_CND_000090,6/26/2022,Mackenzie,Male,"$13,500 ",Motor Vehicle Branch Office,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$27,000 ",78758-7841,Hatchback,8861584,Greenville
C_CND_000091,7/2/2022,Marilyn,Male,"$13,500 ",Progressive Shippers Cooperative Association No,Saturn,LW,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",53546-9427,Hatchback,7826540,Janesville
C_CND_000092,7/2/2022,Gregory,Male,"$13,500 ",Suburban Ford,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",53546-9427,Hatchback,7954738,Janesville
C_CND_000093,7/5/2022,Cody,Male,"$13,500 ",Progressive Shippers Cooperative Association No,Honda,Civic,Overhead Camshaft,Manual,Pale White,"$45,000 ",53546-9427,Hatchback,7702441,Janesville
C_CND_000094,7/9/2022,Elias,Male,"$13,500 ",Classic Chevy,Saturn,LW,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",85257-3102,Hatchback,6428787,Scottsdale
C_CND_000095,7/9/2022,Emmanuel,Male,"$13,500 ",Diehl Motor CO Inc,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",06457-3834,Hatchback,6205282,Middletown
C_CND_000096,7/16/2022,Valeria,Male,"$13,500 ",Ryder Truck Rental and Leasing,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,"$12,001 ",06457-3834,Hatchback,7185376,Middletown
C_CND_000097,7/24/2022,Liam,Male,"$13,500 ",Buddy Storbeck's Diesel Service Inc,Volkswagen,Passat,Double Overhead Camshaft,Auto,Pale White,"$31,000 ",06457-3834,Hatchback,7473461,Middletown
C_CND_000098,7/25/2022,Amanda,Male,"$13,500 ",Tri-State Mack Inc,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$27,000 ",85257-3102,Hatchback,6105931,Scottsdale
C_CND_000099,7/26/2022,Mason,Male,"$13,500 ",Iceberg Rentals,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",53546-9427,Hatchback,6419609,Janesville
C_CND_000100,7/30/2022,Atara,Male,"$13,500 ",Chrysler Plymouth,Honda,Passport,Overhead Camshaft,Manual,Pale White,"$27,001 ",53546-9427,Hatchback,8359010,Janesville
C_CND_000101,8/8/2022,Chava,Male,"$13,500 ",Classic Chevy,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$12,001 ",85257-3102,Hatchback,7609237,Scottsdale
C_CND_000102,8/8/2022,Elizabeth,Male,"$13,500 ",Capitol KIA,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,"$26,000 ",38701-8047,Hatchback,7176806,Austin
C_CND_000103,8/10/2022,Athena,Male,"$13,500 ",Suburban Ford,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$13,000 ",53546-9427,Hatchback,6457412,Janesville
C_CND_000104,8/10/2022,Elizabeth,Male,"$13,500 ",Saab-Belle Dodge,Lincoln,Town car,Overhead Camshaft,Manual,Pale White,"$33,000 ",60504-7114,Hatchback,8962493,Aurora
C_CND_000105,8/15/2022,Widiane,Male,"$13,500 ",Nebo Chevrolet,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,"$14,000 ",06457-3834,Hatchback,6463740,Middletown
C_CND_000106,8/16/2022,Faigy,Male,"$13,500 ",Motor Vehicle Branch Office,Buick,Park Avenue,Double Overhead Camshaft,Auto,Pale White,"$62,000 ",78758-7841,Hatchback,6733711,Austin
C_CND_000107,8/23/2022,Angel,Male,"$13,500 ",U-Haul CO,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,"$26,000 ",78758-7841,Hatchback,6685073,Austin
C_CND_000108,8/23/2022,Henny,Male,"$13,500 ",Classic Chevy,Lexus,GS400,Double Overhead Camshaft,Auto,Pale White,"$25,000 ",85257-3102,Hatchback,6434166,Scottsdale
C_CND_000109,8/31/2022,Hannah,Male,"$13,500 ",C & M Motors Inc,Lincoln,Town car,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",60504-7114,Hatchback,6025932,Aurora
C_CND_000110,8/31/2022,Liliana,Male,"$13,500 ",Pars Auto Sales,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$12,000 ",38701-8047,Hatchback,8373978,Greenville
C_CND_000111,9/1/2022,Harper,Male,"$13,500 ",Star Enterprises Inc,Nissan,Frontier,Double Overhead Camshaft,Auto,Pale White,"$26,000 ",99301-3882,Hatchback,7288590,Pasco
C_CND_000112,9/4/2022,Jayden,Male,"$13,500 ",Pitre Buick-Pontiac-Gmc of Scottsdale,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",99301-3882,Hatchback,7545742,Pasco
C_CND_000113,9/5/2022,Morgan,Male,"$13,500 ",Pars Auto Sales,Volvo,S70,Double Overhead Camshaft,Auto,Pale White,"$32,001 ",38701-8047,Hatchback,6606482,Greenville
C_CND_000114,9/5/2022,Kayla,Male,"$13,500 ",Iceberg Rentals,Dodge,Ram Van,Double Overhead Camshaft,Auto,Pale White,"$12,000 ",53546-9427,Hatchback,8289434,Greenville
C_CND_000115,9/6/2022,Nina,Male,"$13,500 ",Scrivener Performance Engineering,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$18,001 ",38701-8047,Hatchback,7399923,Greenville
C_CND_000116,9/6/2022,Kamari,Male,"$13,500 ",Tri-State Mack Inc,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$12,000 ",85257-3102,Hatchback,6998157,Scottsdale
C_CND_000117,9/10/2022,Sophia,Male,"$13,500 ",Rabun Used Car Sales,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$42,000 ",85257-3102,Hatchback,7750706,Scottsdale
C_CND_000118,9/10/2022,Lila,Male,"$13,500 ",Hatfield Volkswagen,Chevrolet,Monte Carlo,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",99301-3882,Hatchback,6735166,Pasco
C_CND_000119,9/10/2022,Samantha,Male,"$13,500 ",Iceberg Rentals,Ford,Mustang,Double Overhead Camshaft,Auto,Pale White,"$22,000 ",53546-9427,Hatchback,7218394,Greenville
C_CND_000120,9/10/2022,Savannah,Male,"$13,500 ",Nebo Chevrolet,Volvo,C70,Overhead Camshaft,Manual,Pale White,"$24,000 ",06457-3834,Hatchback,7433817,Scottsdale
C_CND_000121,9/11/2022,Sara,Male,"$13,500 ",Rabun Used Car Sales,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$20,001 ",85257-3102,Hatchback,8974797,Scottsdale
C_CND_000122,9/11/2022,Sasha,Male,"$13,500 ",Ryder Truck Rental and Leasing,Dodge,Ram Pickup,Double Overhead Camshaft,Auto,Pale White,"$45,001 ",06457-3834,Hatchback,7190382,Middletown
C_CND_000123,9/12/2022,Abigail,Male,"$13,500 ",Motor Vehicle Branch Office,Volkswagen,Passat,Double Overhead Camshaft,Auto,Pale White,"$13,000 ",78758-7841,Hatchback,8107531,Austin
C_CND_000124,9/12/2022,Malky,Male,"$13,500 ",Scrivener Performance Engineering,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",38701-8047,Hatchback,6274191,Greenville
C_CND_000125,9/12/2022,Xin,Male,"$13,500 ",C & M Motors Inc,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$22,000 ",60504-7114,Hatchback,8207963,Pasco
C_CND_000126,9/13/2022,Yechezkel,Male,"$13,500 ",Chrysler Plymouth,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,"$22,000 ",53546-9427,Hatchback,8412039,Janesville
C_CND_000127,9/13/2022,Yechiel,Male,"$13,500 ",Classic Chevy,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$22,000 ",85257-3102,Hatchback,6116500,Scottsdale
C_CND_000128,9/14/2022,Arielle,Male,"$13,500 ",Chrysler Plymouth,Jeep,Wrangler,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",53546-9427,Hatchback,8800327,Janesville
C_CND_000129,9/15/2022,Brianna,Male,"$13,500 ",Gartner Buick Hyundai Saab,Saturn,SC,Overhead Camshaft,Manual,Pale White,"$61,000 ",38701-8047,Hatchback,8528408,Greenville
C_CND_000130,9/15/2022,Nicolette,Male,"$13,500 ",Scrivener Performance Engineering,Jeep,Wrangler,Double Overhead Camshaft,Auto,Pale White,"$13,000 ",38701-8047,Hatchback,7281072,Greenville
C_CND_000131,9/15/2022,Olivia,Male,"$13,500 ",Rabun Used Car Sales,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",85257-3102,Hatchback,8143503,Scottsdale
C_CND_000132,9/15/2022,Darwin,Male,"$13,500 ",U-Haul CO,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,"$26,001 ",78758-7841,Hatchback,6149235,Austin
C_CND_000133,9/15/2022,Aidan,Male,"$13,500 ",Gartner Buick Hyundai Saab,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",38701-8047,Hatchback,6745124,Greenville
C_CND_000134,9/17/2022,Raizy,Male,"$13,500 ",Clay Johnson Auto Sales,Pontiac,Bonneville,Overhead Camshaft,Manual,Pale White,"$11,000 ",78758-7841,Hatchback,8221062,Austin
